date,division,inflation_yoy,inflation_mom,year,month,division_label
2017-12-01,overall,3.5,0.1,2017,12,Overall CPI
2018-01-01,overall,2.7,0.3,2018,1,Overall CPI
2018-02-01,overall,1.4,0.0,2018,2,Overall CPI
2018-03-01,overall,1.3,-0.3,2018,3,Overall CPI
2018-04-01,overall,1.4,0.0,2018,4,Overall CPI
2018-05-01,overall,1.8,0.2,2018,5,Overall CPI
2018-06-01,overall,0.8,-1.2,2018,6,Overall CPI
2018-07-01,overall,0.9,0.2,2018,7,Overall CPI
2018-08-01,overall,0.2,0.2,2018,8,Overall CPI
2018-09-01,overall,0.3,0.4,2018,9,Overall CPI
2018-10-01,overall,0.6,0.2,2018,10,Overall CPI
2018-11-01,overall,0.2,0.2,2018,11,Overall CPI
2018-12-01,overall,0.2,0.1,2018,12,Overall CPI
2019-01-01,overall,-0.7,-0.5,2019,1,Overall CPI
2019-02-01,overall,-0.4,0.2,2019,2,Overall CPI
